attempt_order,learner_id,skill_name,lesson_title,question_id,is_correct,difficulty_level,assessment_type,answered_at,certification_id,lesson_id,exam_id,attempt_no
1,1,101,Accounting and Financial Affairs,Q-101-1,0,AVERAGE,LESSON_QUIZ,2026-01-01 08:00:00+00:00,1,101,1000,1
2,1,102,Management and Organization Theory,Q-102-1,0,HARD,MOCK_EXAM,2026-01-01 08:01:00+00:00,1,102,1000,1
3,1,103,Laws on Labor and Transaction,Q-103-1,0,EASY,LESSON_QUIZ,2026-01-01 08:02:00+00:00,1,103,1000,1
4,1,104,Laws on Security,Q-104-1,1,AVERAGE,MOCK_EXAM,2026-01-01 08:03:00+00:00,1,104,1000,1
5,1,101,Accounting and Financial Affairs,Q-101-2,0,HARD,MIDDLE_EXAM,2026-01-01 08:07:00+00:00,1,101,1001,1
6,1,102,Management and Organization Theory,Q-102-2,1,EASY,DIAGNOSTIC,2026-01-01 08:08:00+00:00,1,102,1001,1
7,1,103,Laws on Labor and Transaction,Q-103-2,0,AVERAGE,MIDDLE_EXAM,2026-01-01 08:09:00+00:00,1,103,1001,1
8,1,104,Laws on Security,Q-104-2,0,HARD,DIAGNOSTIC,2026-01-01 08:10:00+00:00,1,104,1001,1
9,1,101,Accounting and Financial Affairs,Q-101-3,0,EASY,MOCK_EXAM,2026-01-01 08:14:00+00:00,1,101,1002,1
10,1,102,Management and Organization Theory,Q-102-3,0,AVERAGE,LESSON_QUIZ,2026-01-01 08:15:00+00:00,1,102,1002,1
11,1,103,Laws on Labor and Transaction,Q-103-3,1,HARD,MOCK_EXAM,2026-01-01 08:16:00+00:00,1,103,1002,1
12,1,104,Laws on Security,Q-104-3,1,EASY,LESSON_QUIZ,2026-01-01 08:17:00+00:00,1,104,1002,1
13,1,101,Accounting and Financial Affairs,Q-101-4,1,AVERAGE,DIAGNOSTIC,2026-01-01 08:21:00+00:00,1,101,1003,1
14,1,102,Management and Organization Theory,Q-102-4,0,HARD,MIDDLE_EXAM,2026-01-01 08:22:00+00:00,1,102,1003,1
15,1,103,Laws on Labor and Transaction,Q-103-4,1,EASY,DIAGNOSTIC,2026-01-01 08:23:00+00:00,1,103,1003,1
16,1,104,Laws on Security,Q-104-4,0,AVERAGE,MIDDLE_EXAM,2026-01-01 08:24:00+00:00,1,104,1003,1
17,1,101,Accounting and Financial Affairs,Q-101-5,1,HARD,LESSON_QUIZ,2026-01-01 08:28:00+00:00,1,101,1000,2
18,1,102,Management and Organization Theory,Q-102-5,0,EASY,MOCK_EXAM,2026-01-01 08:29:00+00:00,1,102,1000,2
19,1,103,Laws on Labor and Transaction,Q-103-5,0,AVERAGE,LESSON_QUIZ,2026-01-01 08:30:00+00:00,1,103,1000,2
20,1,104,Laws on Security,Q-104-5,0,HARD,MOCK_EXAM,2026-01-01 08:31:00+00:00,1,104,1000,2
21,1,101,Accounting and Financial Affairs,Q-101-6,1,EASY,MIDDLE_EXAM,2026-01-01 08:35:00+00:00,1,101,1001,2
22,1,102,Management and Organization Theory,Q-102-6,1,AVERAGE,DIAGNOSTIC,2026-01-01 08:36:00+00:00,1,102,1001,2
23,1,103,Laws on Labor and Transaction,Q-103-6,1,HARD,MIDDLE_EXAM,2026-01-01 08:37:00+00:00,1,103,1001,2
24,1,104,Laws on Security,Q-104-6,1,EASY,DIAGNOSTIC,2026-01-01 08:38:00+00:00,1,104,1001,2
25,1,101,Accounting and Financial Affairs,Q-101-7,0,AVERAGE,MOCK_EXAM,2026-01-01 08:42:00+00:00,1,101,1002,2
26,1,102,Management and Organization Theory,Q-102-7,0,HARD,LESSON_QUIZ,2026-01-01 08:43:00+00:00,1,102,1002,2
27,1,103,Laws on Labor and Transaction,Q-103-7,0,EASY,MOCK_EXAM,2026-01-01 08:44:00+00:00,1,103,1002,2
28,1,104,Laws on Security,Q-104-7,1,AVERAGE,LESSON_QUIZ,2026-01-01 08:45:00+00:00,1,104,1002,2
29,1,101,Accounting and Financial Affairs,Q-101-8,1,HARD,DIAGNOSTIC,2026-01-01 08:49:00+00:00,1,101,1003,2
30,1,102,Management and Organization Theory,Q-102-8,1,EASY,MIDDLE_EXAM,2026-01-01 08:50:00+00:00,1,102,1003,2
